Column,Data_Type,Unique_Values,Missing_Values,Missing_Percentage
ID,object,999458,0,0.0
Source,object,3,0,0.0
Severity,int64,4,0,0.0
Start_Time,object,955731,0,0.0
End_Time,object,976005,0,0.0
Start_Lat,float64,620867,0,0.0
Start_Lng,float64,622941,0,0.0
End_Lat,float64,346024,510314,51.059074018117826
End_Lng,float64,348814,510314,51.059074018117826
Distance(mi),float64,12462,0,0.0
Description,object,750126,1,0.00010005422939233064
Street,object,126262,1104,0.11045986924913304
City,object,10684,30,0.003001626881769919
County,object,1709,0,0.0
State,object,49,0,0.0
Zipcode,object,211972,250,0.02501355734808266
Country,object,1,0,0.0
Timezone,object,4,961,0.09615211444602975
Airport_Code,object,1950,2585,0.2586401829791747
Weather_Timestamp,object,393438,15155,1.5163218464407708
Temperature(F),float64,769,20883,2.089432472400041
Wind_Chill(F),float64,865,294818,29.497787800988135
Humidity(%),float64,100,22197,2.2209037298215635
Pressure(in),float64,1027,17892,1.7901702722875799
Visibility(mi),float64,67,22684,2.2696301395356286
Wind_Direction,object,24,21750,2.176179489283191
Wind_Speed(mph),float64,120,81287,8.133108144614381
Precipitation(in),float64,210,324291,32.446686103868295
Weather_Condition,object,111,22350,2.2362120269185897
Amenity,bool,2,0,0.0
Bump,bool,2,0,0.0
Crossing,bool,2,0,0.0
Give_Way,bool,2,0,0.0
Junction,bool,2,0,0.0
No_Exit,bool,2,0,0.0
Railway,bool,2,0,0.0
Roundabout,bool,2,0,0.0
Station,bool,2,0,0.0
Stop,bool,2,0,0.0
Traffic_Calming,bool,2,0,0.0
Traffic_Signal,bool,2,0,0.0
Turning_Loop,bool,1,0,0.0
Sunrise_Sunset,object,2,2394,0.23952982516523957
Civil_Twilight,object,2,2394,0.23952982516523957
Nautical_Twilight,object,2,2394,0.23952982516523957
Astronomical_Twilight,object,2,2394,0.23952982516523957
