Feature,Category,Data_Type,Train_Unique_Values,Test_Unique_Values,Train_Missing,Test_Missing
Start_Lat,TEMPORAL,float64,537920,169498,0,0
Start_Lng,TEMPORAL,float64,540159,169570,0,0
Distance(mi),NUMERICAL,float64,12207,8015,0,0
Street,FREQUENCY_ENCODED,float64,495,496,0,0
City,FREQUENCY_ENCODED,float64,635,636,0,0
County,FREQUENCY_ENCODED,float64,523,524,0,0
Zipcode,FREQUENCY_ENCODED,float64,463,464,0,0
Airport_Code,FREQUENCY_ENCODED,float64,678,679,0,0
Temperature(F),NUMERICAL,float64,743,648,0,0
Wind_Chill(F),NUMERICAL,float64,846,714,0,0
Humidity(%),NUMERICAL,float64,100,99,0,0
Pressure(in),NUMERICAL,float64,989,915,0,0
Visibility(mi),NUMERICAL,float64,61,54,0,0
Wind_Speed(mph),NUMERICAL,float64,97,86,0,0
Precipitation(in),NUMERICAL,float64,194,145,0,0
Weather_Condition,FREQUENCY_ENCODED,float64,74,75,0,0
Amenity,NUMERICAL,bool,2,2,0,0
Bump,NUMERICAL,bool,2,2,0,0
Crossing,NUMERICAL,bool,2,2,0,0
Give_Way,NUMERICAL,bool,2,2,0,0
Junction,NUMERICAL,bool,2,2,0,0
No_Exit,NUMERICAL,bool,2,2,0,0
Railway,NUMERICAL,bool,2,2,0,0
Roundabout,NUMERICAL,bool,2,2,0,0
Station,NUMERICAL,bool,2,2,0,0
Stop,NUMERICAL,bool,2,2,0,0
Traffic_Calming,NUMERICAL,bool,2,2,0,0
Traffic_Signal,NUMERICAL,bool,2,2,0,0
Precipitation_in_Missing,MISSING_INDICATOR,int64,2,2,0,0
Wind_Chill_F_Missing,MISSING_INDICATOR,int64,2,2,0,0
Wind_Speed_mph_Missing,MISSING_INDICATOR,int64,2,2,0,0
Start_Year,TEMPORAL,int64,8,8,0,0
Start_Month,TEMPORAL,int64,12,12,0,0
Start_Day,TEMPORAL,int64,31,31,0,0
Start_Hour,TEMPORAL,int64,24,24,0,0
Start_DayOfWeek,TEMPORAL,int64,7,7,0,0
Is_Weekend,TEMPORAL,int64,2,2,0,0
Is_Night,TEMPORAL,int64,2,2,0,0
Hour_Sin,TEMPORAL,float64,21,21,0,0
Hour_Cos,TEMPORAL,float64,22,22,0,0
Month_Sin,TEMPORAL,float64,11,11,0,0
Month_Cos,TEMPORAL,float64,11,11,0,0
Source_Source1,ONE_HOT,int64,2,2,0,0
Source_Source2,ONE_HOT,int64,2,2,0,0
Source_Source3,ONE_HOT,int64,2,2,0,0
State_AL,ONE_HOT,int64,2,2,0,0
State_AR,ONE_HOT,int64,2,2,0,0
State_AZ,ONE_HOT,int64,2,2,0,0
State_CA,ONE_HOT,int64,2,2,0,0
State_CO,ONE_HOT,int64,2,2,0,0
State_CT,ONE_HOT,int64,2,2,0,0
State_DC,ONE_HOT,int64,2,2,0,0
State_DE,ONE_HOT,int64,2,2,0,0
State_FL,ONE_HOT,int64,2,2,0,0
State_GA,ONE_HOT,int64,2,2,0,0
State_IA,ONE_HOT,int64,2,2,0,0
State_ID,ONE_HOT,int64,2,2,0,0
State_IL,ONE_HOT,int64,2,2,0,0
State_IN,ONE_HOT,int64,2,2,0,0
State_KS,ONE_HOT,int64,2,2,0,0
State_KY,ONE_HOT,int64,2,2,0,0
State_LA,ONE_HOT,int64,2,2,0,0
State_MA,ONE_HOT,int64,2,2,0,0
State_MD,ONE_HOT,int64,2,2,0,0
State_ME,ONE_HOT,int64,2,2,0,0
State_MI,ONE_HOT,int64,2,2,0,0
State_MN,ONE_HOT,int64,2,2,0,0
State_MO,ONE_HOT,int64,2,2,0,0
State_MS,ONE_HOT,int64,2,2,0,0
State_MT,ONE_HOT,int64,2,2,0,0
State_NC,ONE_HOT,int64,2,2,0,0
