,Missing_Count,Missing_Percentage
End_Lng,510314,51.06
End_Lat,510314,51.06
Precipitation(in),324291,32.45
Wind_Chill(F),294818,29.5
Wind_Speed(mph),81287,8.13
Start_Time,28528,2.85
Hour,28528,2.85
Month,28528,2.85
Year,28528,2.85
Day_of_Week,28528,2.85
Visibility(mi),22684,2.27
Weather_Condition,22350,2.24
Humidity(%),22197,2.22
Wind_Direction,21750,2.18
Temperature(F),20883,2.09
Pressure(in),17892,1.79
Weather_Timestamp,15155,1.52
Airport_Code,2585,0.26
Sunrise_Sunset,2394,0.24
Civil_Twilight,2394,0.24
Nautical_Twilight,2394,0.24
Astronomical_Twilight,2394,0.24
Street,1104,0.11
Timezone,961,0.1
Zipcode,250,0.03
City,30,0.0
Description,1,0.0
