,count,mean,std,min,25%,50%,75%,max
Severity,999458.0,2.238102051311811,0.5041876376435966,1.0,2.0,2.0,2.0,4.0
Start_Lat,999458.0,36.24426785017461,5.045341796125252,24.5548,33.436579,35.815159,40.10638400000001,49.00056
Start_Lng,999458.0,-94.80731285962808,17.345712809418327,-124.548074,-117.22448975,-87.925352,-80.416652,-67.614387
End_Lat,489144.0,36.37217888949655,5.271932417986859,24.57029,33.551728749999995,36.40698243108851,40.30146925,49.00222329
End_Lng,489144.0,-96.26151847144534,18.209234488433626,-124.545748,-117.87636299999998,-90.06605400000002,-80.314054,-67.62034
Distance(mi),999458.0,0.49833037605617897,1.7470563538935786,0.0,0.0,0.006,0.35,194.72999572753903
Temperature(F),978575.0,61.59086120123648,18.935171702875234,-89.0,49.0,64.0,76.0,196.0
Wind_Chill(F),704640.0,57.66436549159856,22.473793153660406,-89.0,41.9,61.0,75.0,196.0
Humidity(%),977261.0,65.08828757107877,22.7850970072544,1.0,49.0,67.0,84.0,100.0
Pressure(in),981566.0,29.57060707074206,0.9728746987888893,0.12,29.41,29.87,30.04,58.63
Visibility(mi),976774.0,9.096352400862436,2.7077279495248217,0.0,10.0,10.0,10.0,100.0
Wind_Speed(mph),918171.0,7.72073437300895,5.369561181361147,0.0,4.6,7.0,10.4,822.8
Precipitation(in),675167.0,0.009166028552935794,0.13237395133954818,0.0,0.0,0.0,0.0,36.47
