Feature,Feature_Group,Train_Missing_Count,Train_Missing_Percentage,Test_Missing_Count,Test_Missing_Percentage,Mean,Median,Std,Min,Q1,Q3,Max,IQR,Skewness,IQR_Outlier_Percentage,Unique_Values,Absolute_Skewness
Precipitation(in),Continuous,0,0.0,0,0.0,0.006195157270534332,0.0,0.11248226367147944,0.0,0.0,0.0,36.47,0.0,131.3191607161653,0.0,194,131.3191607161653
Distance(mi),Continuous,0,0.0,0,0.0,0.5623500167914268,0.029,1.7687232273820666,0.0,0.0,0.464,194.72999572753903,0.464,16.604734854615664,12.453590405078076,12207,16.604734854615664
Pressure(in),Continuous,0,0.0,0,0.0,29.54698252910879,29.86,0.9893122303290631,20.0,29.38,30.03,31.1,0.6500000000000021,-3.7125132223139237,5.758353727085947,989,3.7125132223139237
Visibility(mi),Continuous,0,0.0,0,0.0,9.113352695414253,10.0,2.666863492755587,0.0,10.0,10.0,120.0,0.0,2.3838021505933953,0.0,61,2.3838021505933953
Wind_Chill(F),Continuous,0,0.0,0,0.0,59.24228853543889,62.0,19.334187154774572,-89.0,52.0,71.0,189.0,19.0,-0.9178256417275169,6.070731411464436,846,0.9178256417275169
Wind_Speed(mph),Continuous,0,0.0,0,0.0,7.63329423401816,7.0,5.060320930260159,0.0,5.0,10.0,85.2,5.0,0.8736723131998905,3.739653583402216,97,0.8736723131998905
Temperature(F),Continuous,0,0.0,0,0.0,61.74477142532011,64.0,18.809927851788267,-77.8,50.0,76.0,140.0,26.0,-0.5247977298971257,0.8414689504334896,743,0.5247977298971257
Start_Lng,Continuous,0,0.0,0,0.0,-94.71066553244248,-87.75761999999997,17.39776469035155,-124.548074,-117.222908,-80.35129,-67.606864,36.871618,-0.48217703491300073,0.0,540159,0.48217703491300073
Humidity(%),Continuous,0,0.0,0,0.0,64.85812325788166,67.0,22.566710783948498,1.0,49.0,84.0,100.0,35.0,-0.40510340059515126,0.0,100,0.40510340059515126
Start_Lat,Continuous,0,0.0,0,0.0,36.193342461595066,35.81828400000001,5.074585746694697,24.566999,33.400165,40.075158,49.00026,6.674993000000001,-0.07057261713279886,0.0,537920,0.07057261713279886
