State,1,2,3,4
AL,0.74,74.54,23.28,1.44
AR,0.24,83.56,3.95,12.25
AZ,4.88,80.28,11.85,2.99
CA,0.68,80.22,18.31,0.79
CO,1.1,57.66,33.42,7.82
CT,0.13,65.76,27.77,6.34
DC,1.14,84.9,8.05,5.91
DE,1.95,82.05,5.78,10.22
FL,0.95,82.63,14.68,1.74
GA,0.71,51.55,40.2,7.55
IA,0.23,61.14,30.4,8.23
ID,0.0,91.61,2.1,6.29
IL,0.96,59.76,36.47,2.81
IN,0.56,64.71,26.92,7.81
KS,0.15,65.63,30.77,3.44
KY,1.11,54.27,41.12,3.51
LA,2.07,83.29,13.26,1.37
MA,2.1,67.16,29.94,0.8
MD,0.37,69.39,22.23,8.01
ME,0.48,84.69,10.53,4.31
MI,0.69,67.1,27.47,4.73
MN,0.32,80.77,18.44,0.47
MO,0.42,56.68,39.05,3.85
MS,0.26,66.39,27.74,5.61
MT,0.0,97.28,0.78,1.94
NC,1.71,85.54,10.03,2.72
ND,0.0,98.94,0.26,0.79
NE,0.26,84.4,13.48,1.86
NH,0.99,76.58,20.12,2.31
NJ,0.15,77.12,18.32,4.42
NM,1.45,63.53,30.1,4.91
NV,0.71,78.09,18.27,2.93
NY,0.44,72.64,23.62,3.3
OH,1.61,64.15,28.33,5.92
OK,1.79,88.87,8.63,0.71
OR,0.98,89.35,6.37,3.31
PA,0.7,81.76,12.52,5.02
RI,1.26,49.59,48.38,0.77
SC,1.82,84.81,12.6,0.77
SD,0.0,82.86,0.0,17.14
TN,1.61,76.39,19.96,2.03
TX,0.76,75.46,22.59,1.19
UT,0.74,80.55,17.0,1.72
VA,1.27,71.99,21.1,5.64
VT,0.0,65.22,21.01,13.77
WA,0.85,64.55,30.73,3.86
WI,0.15,59.08,31.0,9.77
WV,0.07,86.18,6.08,7.67
WY,0.0,77.41,4.96,17.63
