ID,Severity,Start_Time,State,Source,Temperature(F),Wind_Speed(mph),Pressure(in),Visibility(mi),Precipitation(in),Distance(mi)
A-4380997,2,2022-12-25 11:34:23,OH,Source1,12.0,20.0,38.69,3.0,0.0,1.151
A-5049924,2,2022-03-09 21:13:30,CO,Source1,9.0,14.0,19.94,10.0,0.0,16.203
A-4022635,2,2023-02-22 11:58:52,CO,Source1,18.0,25.0,19.53,0.0,0.0,0.74
A-4356859,2,2022-04-06 17:16:12,FL,Source1,84.0,17.0,58.63,10.0,0.0,0.393
A-3039013,3,2017-12-31 14:55:31,TX,Source2,26.6,124.3,30.51,10.0,0.0,0.0
A-970352,3,2021-07-12 06:46:48,CT,Source2,72.0,0.0,19.75,1.0,0.0,2.309999942779541
A-4875431,2,2021-12-31 15:21:13.000000000,CO,Source1,12.0,15.0,19.75,0.0,0.0,3.945
A-3710435,2,2023-01-17 07:06:45,CO,Source1,18.0,0.0,19.93,1.0,0.0,0.836
A-5239401,2,2022-01-03 10:15:40,OR,Source1,37.0,122.0,26.39,10.0,0.0,0.04
A-4022499,2,2022-02-23 06:36:30,CO,Source1,14.0,13.0,19.92,3.0,0.0,6.586
A-700276,3,2022-02-23 05:50:38,CO,Source2,16.0,16.0,19.94,0.25,0.0,4.130000114440918
A-4897977,2,2022-09-06 16:59:40.000000000,CA,Source1,97.0,12.0,38.44,10.0,0.0,2.214
A-2096416,2,2019-05-10 14:23:41,CA,Source2,66.0,116.0,29.74,10.0,0.0,0.0
A-3862944,2,2022-04-06 17:09:45,FL,Source1,84.0,17.0,58.63,10.0,0.0,0.021
A-3831567,2,2022-09-06 14:18:00,CA,Source1,97.0,12.0,38.44,10.0,0.0,0.042
A-4322716,2,2022-12-28 17:16:56,CO,Source1,18.0,10.0,19.88,0.75,0.0,0.154
A-5236873,2,2022-12-28 17:30:30,CO,Source1,18.0,7.0,19.89,1.0,0.0,1.217
A-4748588,2,2022-07-02 05:28:30,VA,Source1,162.0,0.0,28.81,10.0,0.0,0.278
A-698187,2,2022-02-24 07:35:43,CO,Source2,-4.0,17.0,19.97,1.0,0.0,4.110000133514403
A-5040414,2,2022-02-08 12:20:00,CA,Source1,75.0,0.0,19.36,10.0,0.0,0.55
A-1288293,2,2020-09-07 10:31:21,OH,Source2,189.0,8.0,28.99,8.0,0.0,0.0
A-4412551,2,2022-11-08 12:22:46,AZ,Source1,81.0,116.0,27.46,10.0,0.0,0.008
A-3701240,2,2023-02-28 10:56:42,CO,Source1,12.0,7.0,19.88,0.0,0.0,1.665
A-6721025,4,2020-10-31 00:16:09,NH,Source1,9.0,32.0,29.86,120.0,0.0,0.327
A-1310458,2,2020-09-23 17:52:43,SC,Source2,72.0,6.0,19.37,10.0,0.0,0.0
A-3857272,2,2022-12-12 20:40:30,CO,Source1,9.0,14.0,19.86,4.0,0.0,5.622000000000001
A-5402478,2,2023-02-22 11:58:52,CO,Source1,18.0,25.0,19.53,0.0,0.0,0.892
A-7320444,3,2019-12-19 14:49:17,NJ,Source1,30.0,169.0,30.3,10.0,0.0,1.28
A-1364188,2,2020-10-29 11:27:40,TX,Source2,50.0,145.0,29.4,10.0,0.0,0.0
A-3268003,2,2017-10-25 11:10:06,AZ,Source2,84.2,208.3,30.08,10.0,0.0,0.0
A-595776,3,2022-06-12 22:36:03,NC,Source2,81.0,5.0,57.54,10.0,0.0,0.0
A-6829472,2,2020-12-28 02:47:00.000000000,CA,Source1,46.0,0.0,58.04,10.0,0.0,0.993
A-478392,3,2017-06-29 15:41:23,NY,Source2,82.4,126.6,30.07,20.0,0.0,0.0
A-4533559,2,2022-03-09 19:04:00,CO,Source1,12.0,10.0,19.92,0.75,0.0,20.956
A-247675,2,2016-09-29 05:00:17,MD,Source2,64.4,126.6,30.11,2.5,0.0,0.0
A-4476090,2,2022-03-09 19:04:00,CO,Source1,12.0,10.0,19.92,0.75,0.0,21.701
A-7019020,3,2020-05-09 16:47:52,NC,Source1,63.0,131.0,29.37,10.0,0.0,0.0
A-5407237,2,2022-12-12 20:40:30.000000000,CO,Source1,9.0,14.0,19.86,4.0,0.0,2.901
A-5388689,2,2022-09-06 14:45:00,CA,Source1,97.0,12.0,38.44,10.0,0.0,1.225
A-5773100,2,2021-12-27 00:34:29,CO,Source1,12.0,20.0,19.96,10.0,0.0,3.229
A-4470429,2,2022-03-09 17:24:25,CO,Source1,14.0,12.0,19.91,0.0,0.0,0.785
A-6101505,2,2021-08-21 06:50:00.000000000,CA,Source1,63.0,7.0,52.76,10.0,0.0,0.036
A-3221156,2,2017-10-03 16:45:05,TX,Source2,84.2,128.9,30.1,10.0,0.0,0.0
A-4712879,2,2023-02-22 07:17:16.000000000,CO,Source1,21.0,14.0,19.57,0.75,0.0,0.171
A-4434814,4,2022-12-12 20:37:00,CO,Source1,9.0,14.0,19.86,4.0,0.0,0.13
A-5337176,2,2023-02-22 11:53:30.000000000,CO,Source1,18.0,25.0,19.53,0.0,0.0,6.085
A-3304997,2,2017-09-13 21:14:02,GA,Source2,66.2,7.0,2.99,10.0,0.0,0.0
A-5542034,2,2021-07-12 06:42:00,CT,Source1,72.0,0.0,19.75,1.0,0.0,0.873
A-3424293,2,2016-06-10 11:50:31,CA,Source1,78.8,100.1,29.96,10.0,0.0,0.377
A-5152084,2,2022-03-09 17:24:25.000000000,CO,Source1,14.0,12.0,19.91,0.0,0.0,1.6880000000000002
A-4728918,2,2022-09-06 14:47:00,CA,Source1,97.0,12.0,38.44,10.0,0.0,1.195
A-5474174,2,2021-12-26 20:15:34,CO,Source1,12.0,16.0,19.95,10.0,0.0,0.415
A-3669063,2,2023-03-22 07:27:15.000000000,CO,Source1,23.0,7.0,19.96,0.25,0.0,0.048
A-4295942,2,2023-01-17 07:06:45,CO,Source1,18.0,0.0,19.93,1.0,0.0,0.996
A-1545583,3,2020-04-03 08:05:15,CO,Source2,-89.0,0.0,24.47,5.0,0.0,0.0
A-4729298,2,2022-09-06 14:45:00,CA,Source1,97.0,12.0,38.44,10.0,0.0,2.3
A-64267,2,2017-01-20 13:48:33,CA,Source2,51.8,241.7,29.49,4.0,0.0,0.01
A-5167511,2,2022-02-16 15:46:58,CO,Source1,14.0,0.0,19.95,0.5,0.0,2.312
A-6746487,2,2020-11-30 15:54:01,MD,Source1,55.0,9.0,38.94,10.0,0.0,0.969
A-5134452,2,2023-02-22 20:05:30,CO,Source1,7.0,16.0,19.71,0.5,0.0,20.219
A-116976,2,2016-12-07 08:08:52,FL,Source2,64.0,7.0,0.12,0.2,0.0,0.01
A-7497168,3,2018-11-06 16:31:41,CO,Source1,46.4,130.0,29.99,50.0,0.0,0.129
A-3648096,2,2017-07-10 17:11:32,CA,Source1,69.8,174.9,29.88,10.0,0.0,0.447
