Feature,Data_Type,Missing_Count,Missing_Percentage,Unique_Values,Missingness_Level
End_Lat,float64,352033,44.02211904115808,325899,HIGH
End_Lng,float64,352033,44.02211904115808,328102,HIGH
Precipitation(in),float64,228510,28.575430207097153,194,HIGH
Wind_Chill(F),float64,207445,25.941228477140033,846,HIGH
Wind_Speed(mph),float64,59424,7.43103743655219,110,MODERATE
Visibility(mi),float64,18525,2.3165718987636197,61,LOW
Wind_Direction,object,18260,2.283433353383195,24,LOW
Weather_Condition,object,18160,2.2709282419188845,113,LOW
Humidity(%),float64,18127,2.2668015551356615,100,LOW
Temperature(F),float64,17105,2.1389993159704033,746,LOW
Pressure(in),float64,14779,1.8481304233105282,1014,LOW
Weather_Timestamp,object,12694,1.5873988492796431,340698,LOW
Sunrise_Sunset,object,2400,0.3001226751434649,2,VERY_LOW
Civil_Twilight,object,2400,0.3001226751434649,2,VERY_LOW
Nautical_Twilight,object,2400,0.3001226751434649,2,VERY_LOW
Astronomical_Twilight,object,2400,0.3001226751434649,2,VERY_LOW
Airport_Code,object,2313,0.28924322816951425,1942,VERY_LOW
Street,object,1102,0.1378063283367076,114796,VERY_LOW
Timezone,object,770,0.09628935827519498,4,VERY_LOW
Zipcode,object,206,0.025760529616480735,183211,VERY_LOW
City,object,25,0.003126277866077759,10348,VERY_LOW
